genotype,volume_threshold,sleep_status,state_switch,Unnamed: 4,note,data_origin,Unnamed: 7,note.1,Unnamed: 9,Unnamed: 10,sound_time,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,sound_start_time
w1118,36.22,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/w1118_awake_sd_wednesday_night_movement_thresholds.csv,,,,,,,,,,13.044597864151
,,,,,,,,,,,,,,,,
w1118,100,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/w1118_awake_sd_wednesday_night_movement_thresholds.csv,,,,,,,,,,13.044597864151
w1118,2.67,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/w1118_awake_sd_wednesday_night_movement_thresholds.csv,,,,,,,,,,13.044597864151
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
inc2,17.11,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/only_take_the_one/inc2_thursday_sd_sleeping_worth_a_try_movement_thresholds.csv,,,,,,,,,,1323.61688613892
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
inc2,47.33,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/inc_afternoon_sleeper_praying_movement_thresholds.csv,,,,,,,,,,373.07793712616
,,,,,,,,during_the_day,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
inc2,100,sleeping,0,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/INC2_maybe_sleep_during_Day_one_is_dead_movement_thresholds.csv,,,,,,,,,,1261.85298442841
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,71.56,sleeping,1,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleepin_thursday_lfg_velocities.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleep_pls_on_god_movement_thresholds.csv,,,,,,,,,,303.045910835266
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleepin_movement_thresholds.csv,,,,,,,,,,310.438613653183
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_thursday_getting_late_but_i_have_not_lost_hope_velocities.csv,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_thursday_getting_late_but_i_have_not_lost_hope_velocities.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_thursday_getting_late_but_i_have_not_lost_hope_velocities.csv,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_thursday_getting_late_but_i_have_not_lost_hope_velocities.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/consider_excluding/w1118_last_of_the_season_IT_AINT_DEAD_movement_thresholds.csv,,,,,,,,,,1499.91868710518
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
inc2,22,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/inc_sleep_i_guess_movement_thresholds.csv,,,,,,,,,,303.045479297638
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2989.99163150787
inc2,27.78,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/inc_sd_last_of_the_season_hmmmm_movement_thresholds.csv,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1779.31007480621
inc2,30,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/sleeping_mutant_we_are_back_movement_thresholds.csv,,,,,,,,440.141444683075,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1294.9516222477
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2985.62727069855
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1041.88408851624
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5821.52623534203
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,303.051956892014
