genotype,sleep_cond,thresh,reaction,individual_slep_lat,sleep_latency,fly,time,matched_file,date,time_of_day,time_simp,day_num,proportion,mp4_file_path,mp4_link
helicon_rdl,sleeping,51.3,1,753.004528999329,753.004528999329,30,2025-05-14 16:06:03.764397,helicon_rdl_back_in_town_wednesday_hohoho_movement_thresholds.csv,2025-05-14,16:06:03.764397,4,d10,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helicon_rdl_back_in_town_wednesday_hohoho.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_rdl_sleeping/jw/second_batch/helicon_rdl_back_in_town_wednesday_hohoho.mp4"">helicon_rdl_back_in_town_wednesday_hohoho.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,303,565.783509016037,31,2025-05-14 17:21:39.007926,rdl_w1118_b_movement_thresholds.csv,2025-05-14,17:21:39.007926,5,d10,3 / 4,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_b.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_b.mp4"">rdl_w1118_b.mp4</a>"
rdl_w1118,sleeping,100,0,562,565.783509016037,32,2025-05-14 17:21:39.007926,rdl_w1118_b_movement_thresholds.csv,2025-05-14,17:21:39.007926,5,d10,3 / 4,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_b.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_b.mp4"">rdl_w1118_b.mp4</a>"
rdl_w1118,sleeping,100,0,565.783509016037,565.783509016037,33,2025-05-14 17:21:39.007926,rdl_w1118_b_movement_thresholds.csv,2025-05-14,17:21:39.007926,5,d10,3 / 4,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_b.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_b.mp4"">rdl_w1118_b.mp4</a>"
rdl_w1118,sleeping,100,0,889.784338474274,889.784338474274,34,2025-05-14 17:54:47.441868,rdl_w1118_sleeper_hmm_movement_thresholds.csv,2025-05-14,17:54:47.441868,5,d10,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_sleeper_hmm.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_sleeper_hmm.mp4"">rdl_w1118_sleeper_hmm.mp4</a>"
rdl_w1118,sleeping,88.89,1,441,889.784338474274,35,2025-05-14 17:54:47.441868,rdl_w1118_sleeper_hmm_movement_thresholds.csv,2025-05-14,17:54:47.441868,5,d10,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_sleeper_hmm.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_sleeper_hmm.mp4"">rdl_w1118_sleeper_hmm.mp4</a>"
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,100,0,537,642.898441553116,36,2025-05-14 18:18:42.699166,rdl_w1118_2sleepy2furious_movement_thresholds.csv,2025-05-14,18:18:42.699166,6,d10,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_2sleepy2furious.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_2sleepy2furious.mp4"">rdl_w1118_2sleepy2furious.mp4</a>"
rdl_w1118,sleeping,100,0,642.898441553116,642.898441553116,37,2025-05-14 18:18:42.699166,rdl_w1118_2sleepy2furious_movement_thresholds.csv,2025-05-14,18:18:42.699166,6,d10,2 / 5,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_2sleepy2furious.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/second_batch/rdl_w1118_2sleepy2furious.mp4"">rdl_w1118_2sleepy2furious.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
