subject,pre_average,post_average,difference,sleep_cond,genotype,file,day,baseline_mean,baseline_sd,threshold_2sd,exceeded_threshold,onset_time_threshold,time_from_18s_threshold,volume_percent_threshold,time_from_18s_sig_1s,volume_percent_sig_1s,time_from_18s_sig_2s,volume_percent_sig_2s,time_from_18s_sig_200ms,volume_percent_sig_200ms,time_from_18s_sig_500ms,volume_percent_sig_500ms,time_from_18s_2sd_200ms,volume_percent_2sd_200ms,time_from_18s_2sd_500ms,volume_percent_2sd_500ms,time_from_18s_2sd_1s,volume_percent_2sd_1s
Object3_Velocity,0.413045768326778,0.217850309065794,-0.195195459260985,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0.413984508709339,1.08207391073968,2.57813233018869,True,21.8586225509644,3.85862255096436,25.7241503397624,4,26.6666666666667,4,26.6666666666667,3.79999999999999,25.3333333333332,4.5,30,3.79999999999999,25.3333333333332,4.5,30,4,26.6666666666667
Object4_Velocity,0,0,0,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
Object5_Velocity,0,0,0,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
Object6_Velocity,0.0347354309168315,0.125280311009063,0.0905448800922314,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0.0348143750780061,0.299130539305788,0.633075453689582,True,32.6588780879974,14.6588780879974,97.7258539199829,14,93.3333333333333,14,93.3333333333333,14.6,97.3333333333331,14.5,96.6666666666667,14.6,97.3333333333331,14.5,96.6666666666667,14,93.3333333333333
Object7_Velocity,0,0.291683840395086,0.291683840395086,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0,0,0,True,21.6333758831024,3.63337588310242,24.2225058873494,3,20,2,13.3333333333333,3.59999999999999,23.9999999999999,3.5,23.3333333333333,0,0,0,0,0,0
Object8_Velocity,0,0,0,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
Object9_Velocity,0,0.605929567171248,0.605929567171248,sd,w1118,/home/joeh/mutantscreen_round_two/shaker/sd/w1118/w1118_sd_for_shaker_tuesday_back_in_town_velocity_averages.csv,10.2.26,0,0,0,True,24.3585388660431,6.35853886604309,42.3902591069539,6,40,6,40,6.39999999999998,42.6666666666665,6,40,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object1_Velocity,0.0563116565333121,0,-0.0563116565333121,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0.0563116565333121,0.240907882058865,0.538127420651042,False,,,,,,,,,,,,,,,,,
Object2_Velocity,0,0.0270540828158058,0.0270540828158058,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0,0,0,True,26.5596148967743,8.55961489677429,57.0640993118286,8,53.3333333333333,8,53.3333333333333,8.59999999999997,57.3333333333331,8.5,56.6666666666667,0,0,0,0,0,0
Object3_Velocity,0,0.191801354564484,0.191801354564484,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0,0,0,True,32.1928837299347,14.1928837299347,94.6192248662313,14,93.3333333333333,14,93.3333333333333,14.2,94.6666666666664,14,93.3333333333333,0,0,0,0,0,0
Object4_Velocity,0.901480285180178,0.801718505936827,-0.0997617792433518,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0.901480285180178,2.16891858390727,5.23931745299472,True,29.9929099082947,11.9929099082947,79.9527327219645,12,80,12,80,1.99999999999999,13.3333333333333,12,80,12,79.9999999999997,12,80,,
Object5_Velocity,0.311519290359324,0.922023346903615,0.610504056544291,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0.311519290359324,1.29022467771412,2.89196864578756,True,24.5259811878204,6.52598118782044,43.5065412521362,6,40,6,40,5.79999999999998,38.6666666666665,6,40,6.39999999999998,42.6666666666665,6.5,43.3333333333333,,
Object6_Velocity,0.509870844816535,0.579948251172581,0.0700774063560464,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0.489626963493215,1.59624845461962,3.68212387273246,True,18.0259947776794,0.0259947776794434,0.173298517862956,10,66.6666666666667,10,66.6666666666667,0,0,5.5,36.6666666666667,10.4,69.3333333333331,11.5,76.6666666666667,,
Object7_Velocity,0.567880593673533,1.31235026409813,0.7444696704246,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0.567880593673533,2.2149524707446,4.99778553516273,True,20.2593629360199,2.2593629360199,15.062419573466,2,13.3333333333333,8,53.3333333333333,2.19999999999999,14.6666666666666,2,13.3333333333333,2.19999999999999,14.6666666666666,11,73.3333333333333,11,73.3333333333333
Object8_Velocity,0.392861965501068,1.48685198073062,1.09399001522955,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0.392861965501068,1.59061550643332,3.57409297836771,True,21.992760181427,3.992760181427,26.6184012095133,4,26.6666666666667,4,26.6666666666667,3.99999999999999,26.6666666666666,4,26.6666666666667,3.99999999999999,26.6666666666666,4,26.6666666666667,4,26.6666666666667
Object9_Velocity,0.016731316546121,0.160350900769942,0.143619584223821,sd,shaker,/home/joeh/mutantscreen_round_two/shaker/sd/shaker/shaker_sd_tuesday_lessgo_velocity_averages.csv,10.2.26,0.016731316546121,0.0917118426953109,0.200155001936743,True,18.3260176181793,0.326017618179321,2.17345078786214,0,0,0,0,0.199999999999999,1.33333333333333,0,0,0.199999999999999,1.33333333333333,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object1_Velocity,0,0,0,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,0,0,0,True,27.7586231231689,9.75862312316895,65.057487487793,9,60,8,53.3333333333333,9.79999999999996,65.3333333333331,9.5,63.3333333333333,0,0,0,0,0,0
Object2_Velocity,0,0.141258922784699,0.141258922784699,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,1.15277439072048,3.21667259114122,7.58611957300291,True,18.4256644248962,0.42566442489624,2.8377628326416,4,26.6666666666667,,,0.399999999999999,2.66666666666666,4.5,30,0.399999999999999,2.66666666666666,,,,
Object3_Velocity,0.413045768326778,0.217850309065794,-0.195195459260985,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,0.0739132604495491,0.412271180109252,0.898455620668053,True,19.0589981079102,1.05899810791016,7.05998738606773,1,6.66666666666667,0,0,0.999999999999996,6.66666666666664,1,6.66666666666667,1.79999999999999,12,1.5,10,1,6.66666666666667
Object4_Velocity,0,0,0,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,1.43883049808931,2.37996486781279,6.19876023371489,True,18.8589181900024,0.858918190002441,5.72612126668294,4,26.6666666666667,,,0.599999999999998,3.99999999999999,0.5,3.33333333333333,0.799999999999997,5.33333333333331,,,,
Object5_Velocity,0,0,0,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,0.0517329390259253,0.276939577379853,0.605612093785631,True,26.0919382572174,8.09193825721741,53.946255048116,8,53.3333333333333,8,53.3333333333333,7.99999999999997,53.3333333333331,8,53.3333333333333,7.99999999999997,53.3333333333331,8,53.3333333333333,8,53.3333333333333
Object6_Velocity,0.0347354309168315,0.125280311009063,0.0905448800922314,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,0,0,0,True,32.892302274704,14.892302274704,99.2820151646932,14,93.3333333333333,14,93.3333333333333,14.8,98.6666666666664,14.5,96.6666666666667,0,0,0,0,0,0
Object7_Velocity,0,0.291683840395086,0.291683840395086,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,0,0,0,True,24.3591349124908,6.35913491249085,42.394232749939,6,40,6,40,6.39999999999998,42.6666666666665,6,40,0,0,0,0,0,0
Object8_Velocity,0,0,0,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,0.107111811479857,0.459737565224198,1.02658694192825,False,,,,,,,,,,,,,,,,,
Object9_Velocity,0,0.605929567171248,0.605929567171248,rested,w1118,/home/joeh/mutantscreen_round_two/shaker/rested/w1118_rested/rested_w1118_tuesday_heh_velocity_averages.csv,10.2.26,0,0,0,False,,,,,,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object1_Velocity,0.0306949755410804,0.294005754527669,0.263310778986589,rested,shaker,/home/joeh/mutantscreen_round_two/shaker/rested/shaker_rested/rested_shaker_tuesday_ooop_velocity_averages.csv,10.2.26,0.0700377591749522,0.946345088052577,1.96272793528011,True,22.4922966957092,4.49229669570923,29.9486446380615,4,26.6666666666667,4,26.6666666666667,4.39999999999998,29.3333333333332,4.5,30,4.39999999999998,29.3333333333332,4.5,30,4,26.6666666666667
Object2_Velocity,1.5432697227321,2.05555401756157,0.512284294829465,rested,shaker,/home/joeh/mutantscreen_round_two/shaker/rested/shaker_rested/rested_shaker_tuesday_ooop_velocity_averages.csv,10.2.26,1.55028458510816,4.1043274879762,9.75893956106056,True,20.0591099262238,2.05910992622376,13.7273995081584,2,13.3333333333333,6,40,1.79999999999999,12,2,13.3333333333333,7.19999999999997,47.9999999999998,14,93.3333333333333,,
Object3_Velocity,0.0794527486889852,0.0240276174118819,-0.0554251312771034,rested,shaker,/home/joeh/mutantscreen_round_two/shaker/rested/shaker_rested/rested_shaker_tuesday_ooop_velocity_averages.csv,10.2.26,0.0798138975466625,0.430700212290836,0.941214322128334,True,29.7595729827881,11.7595729827881,78.3971532185873,11,73.3333333333333,,,11.8,78.6666666666664,11.5,76.6666666666667,11.8,78.6666666666664,,,,
Object4_Velocity,0,0.754774584145227,0.754774584145227,rested,shaker,/home/joeh/mutantscreen_round_two/shaker/rested/shaker_rested/rested_shaker_tuesday_ooop_velocity_averages.csv,10.2.26,0,0,0,True,21.3257026672363,3.32570266723633,22.1713511149089,3,20,2,13.3333333333333,3.59999999999999,23.9999999999999,3,20,0,0,0,0,0,0
