filename,pre_onset_1_average,pre_onset_top_speed,post_onset_1_average,post_onset_top_speed,top_speed_difference,ZT,creation_time,abs_difference,cond,light_cond,genotype
W1118_CS_male_secondround_light_2.csv,0,0,0,0,0,296,07.05.2024 13:56:20,0,w1118_cs_light,light,w1118(CS)
W1118_CS_Day_light_02.csv,15.9223913043478,25.01,5.66022222222222,30.41,5.4,391,29.04.2024 15:31:43,10.2621690821256,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_9.csv,4.44282608695652,48.85,5.73454545454545,37.21,-11.64,448,03.05.2024 16:28:11,1.29171936758893,w1118_cs_light,light,w1118(CS)
W1118_CS_male_secondround_light_1.csv,0,0,0.929777777777778,4.5,4.5,285,07.05.2024 13:45:39,0.929777777777778,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_10.csv,5.90844444444444,23.62,19.3911363636364,68.43,44.81,454,03.05.2024 16:34:14,13.4826919191919,w1118_cs_light,light,w1118(CS)
W1118_CS_male_secondround_light_4.csv,8.60044444444445,29.88,4.49113636363636,23.29,-6.59,306,07.05.2024 14:06:02,4.10930808080808,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_11.csv,5.74822222222222,13.93,6.96577777777778,33.68,19.75,461,03.05.2024 16:41:29,1.21755555555556,w1118_cs_light,light,w1118(CS)
W1118_CS_male_secondround_light_5.csv,12.4579545454545,33.54,11.2815217391304,56.89,23.35,311,07.05.2024 14:11:18,1.17643280632411,w1118_cs_light,light,w1118(CS)
W1118_CS_male_secondround_light_7.csv,0.728444444444444,9.25,4.754,10.29,1.04,349,07.05.2024 14:49:10,4.02555555555556,w1118_cs_light,light,w1118(CS)
W1118_CS_Day_light_01.csv,15.2975555555556,27.79,5.65022222222222,22.73,-5.06,386,29.04.2024 15:26:09,9.64733333333334,w1118_cs_light,light,w1118(CS)
W1118_CS_Male_light_05.csv,1.86818181818182,22.42,1.9395652173913,15.67,-6.75,341,02.05.2024 14:41:41,0.0713833992094863,w1118_cs_light,light,w1118(CS)
